[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],ua variable [ m^3 s^-1 ]
1.42390304e-03, 2.07276756e-08
1.42390304e-03, 4.31490932e-08
1.11715030e-03, 3.93142798e-08
1.11715030e-03, 1.88664337e-08
1.79200619e-03, 5.17053778e-08
1.79200619e-03, 2.48574530e-08
2.23373016e-03, 6.21488994e-08
2.23373016e-03, 2.98565901e-08
2.76379869e-03, 7.51875504e-08
2.76379869e-03, 3.59733043e-08
3.39988107e-03, 9.12381140e-08
3.39988107e-03, 4.34027001e-08
4.16318001e-03, 1.10216064e-07
4.16318001e-03, 5.22481045e-08
5.07913856e-03, 1.32753740e-07
5.07913856e-03, 6.28068193e-08
6.17828872e-03, 1.60042433e-07
6.17828872e-03, 7.55319789e-08
7.49726919e-03, 1.93063372e-07
7.49726919e-03, 9.08651501e-08
9.08004586e-03, 2.32758481e-07
9.08004586e-03, 1.09284862e-07
1.09793767e-02, 2.80327470e-07
1.09793767e-02, 1.31378101e-07
1.32585755e-02, 3.06215242e-07
1.32585755e-02, 1.43419200e-07
1.42390304e-03, 4.85237450e-08
1.11715030e-03, 4.42616646e-08
1.79200619e-03, 5.80645256e-08
2.23373016e-03, 6.97672533e-08
2.76379869e-03, 8.47160422e-08
3.39988107e-03, 1.03470953e-07
4.16318001e-03, 1.25547118e-07
5.07913856e-03, 1.51640918e-07
6.17828872e-03, 1.83438686e-07
7.49726919e-03, 2.22111382e-07
9.08004586e-03, 2.68589133e-07
1.09793767e-02, 3.24171481e-07
1.32585755e-02, 3.54313784e-07
1.42390304e-03, 5.44049747e-08
1.11715030e-03, 4.97053065e-08
1.79200619e-03, 6.49339853e-08
2.23373016e-03, 7.78433886e-08
2.76379869e-03, 9.46594056e-08
3.39988107e-03, 1.16280312e-07
4.16318001e-03, 1.41770016e-07
5.07913856e-03, 1.71843411e-07
6.17828872e-03, 2.08829050e-07
7.49726919e-03, 2.54093919e-07
9.08004586e-03, 3.08437137e-07
1.09793767e-02, 3.73190346e-07
1.32585755e-02, 4.08067137e-07
1.42390304e-03, 6.07843447e-08
1.11715030e-03, 5.55775017e-08
1.79200619e-03, 7.23628659e-08
2.23373016e-03, 8.64080718e-08
2.76379869e-03, 1.04935154e-07
3.39988107e-03, 1.29330573e-07
4.16318001e-03, 1.58331019e-07
5.07913856e-03, 1.92661290e-07
6.17828872e-03, 2.35436815e-07
7.49726919e-03, 2.88204916e-07
9.08004586e-03, 3.51483834e-07
1.09793767e-02, 4.26500549e-07
1.32585755e-02, 4.66442515e-07
1.42390304e-03, 6.77871341e-08
1.11715030e-03, 6.21407494e-08
1.79200619e-03, 8.03550293e-08
2.23373016e-03, 9.54879411e-08
2.76379869e-03, 1.15594190e-07
3.39988107e-03, 1.42537388e-07
