[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],uta variable [ m^3 s^-1 K ]
1.42390304e-03, 7.29551630e-06
1.42390304e-03, 1.51231407e-05
1.11715030e-03, 1.37798097e-05
1.11715030e-03, 6.64034542e-06
1.79200619e-03, 1.81448795e-05
1.79200619e-03, 8.75653404e-06
2.23373016e-03, 2.18671594e-05
2.23373016e-03, 1.05339968e-05
2.76379869e-03, 2.65290200e-05
2.76379869e-03, 1.27105986e-05
3.39988107e-03, 3.22434244e-05
3.39988107e-03, 1.53455658e-05
4.16318001e-03, 3.89659654e-05
4.16318001e-03, 1.84759265e-05
5.07913856e-03, 4.69342740e-05
5.07913856e-03, 2.22081762e-05
6.17828872e-03, 5.65827904e-05
6.17828872e-03, 2.67057967e-05
7.49726919e-03, 6.82590617e-05
7.49726919e-03, 3.21253501e-05
9.08004586e-03, 8.22914153e-05
9.08004586e-03, 3.86356478e-05
1.09793767e-02, 9.91099514e-05
1.09793767e-02, 4.64468030e-05
1.32585755e-02, 1.08270222e-04
1.32585755e-02, 5.07072291e-05
1.42390304e-03, 1.68044953e-05
1.11715030e-03, 1.53301153e-05
1.79200619e-03, 2.01546882e-05
2.23373016e-03, 2.43483028e-05
2.76379869e-03, 2.97553888e-05
3.39988107e-03, 3.64974367e-05
4.16318001e-03, 4.43501194e-05
5.07913856e-03, 5.35881736e-05
6.17828872e-03, 6.48409114e-05
7.49726919e-03, 7.85276643e-05
9.08004586e-03, 9.49641108e-05
1.09793767e-02, 1.14616312e-04
1.32585755e-02, 1.25282939e-04
1.42390304e-03, 1.85146419e-05
1.11715030e-03, 1.69134182e-05
1.79200619e-03, 2.21762693e-05
2.23373016e-03, 2.67963296e-05
2.76379869e-03, 3.29439863e-05
3.39988107e-03, 4.08232481e-05
4.16318001e-03, 4.99628986e-05
5.07913856e-03, 6.06423237e-05
6.17828872e-03, 7.37589507e-05
7.49726919e-03, 8.98204671e-05
9.08004586e-03, 1.09057415e-04
1.09793767e-02, 1.31956505e-04
1.32585755e-02, 1.44298872e-04
1.42390304e-03, 2.03084164e-05
1.11715030e-03, 1.85579102e-05
1.79200619e-03, 2.42859205e-05
2.23373016e-03, 2.92787117e-05
2.76379869e-03, 3.60624799e-05
3.39988107e-03, 4.50449224e-05
4.16318001e-03, 5.55324259e-05
5.07913856e-03, 6.77770513e-05
6.17828872e-03, 8.29999335e-05
7.49726919e-03, 1.01812475e-04
9.08004586e-03, 1.24276688e-04
1.09793767e-02, 1.50819251e-04
1.32585755e-02, 1.64952406e-04
1.42390304e-03, 2.23009356e-05
1.11715030e-03, 2.04230328e-05
1.79200619e-03, 2.65621438e-05
2.23373016e-03, 3.18818784e-05
2.76379869e-03, 3.91952599e-05
3.39988107e-03, 4.91401697e-05
4.16318001e-03, 6.09150848e-05
5.07913856e-03, 7.47532613e-05
6.17828872e-03, 9.22488907e-05
7.49726919e-03, 1.14135808e-04
9.08004586e-03, 1.40252043e-04
1.09793767e-02, 1.70818574e-04
1.32585755e-02, 1.86774443e-04
1.42390304e-03, 2.44727999e-05
1.11715030e-03, 2.24507676e-05
1.79200619e-03, 2.90362514e-05
2.23373016e-03, 3.46613233e-05
2.76379869e-03, 4.24362188e-05
3.39988107e-03, 5.31958940e-05
4.16318001e-03, 6.61211961e-05
5.07913856e-03, 8.14765299e-05
6.17828872e-03, 1.01295424e-04
7.49726919e-03, 1.26441271e-04
9.08004586e-03, 1.56515831e-04
1.09793767e-02, 1.91427840e-04
1.32585755e-02, 2.09116188e-04
1.42390304e-03, 2.67508694e-05
1.11715030e-03, 2.45928695e-05
1.79200619e-03, 3.16124133e-05
2.23373016e-03, 3.75288328e-05
2.76379869e-03, 4.57319184e-05
3.39988107e-03, 5.71749551e-05
4.16318001e-03, 7.10508320e-05
5.07913856e-03, 8.77208731e-05
6.17828872e-03, 1.09714420e-04
7.49726919e-03, 1.38041360e-04
9.08004586e-03, 1.71952648e-04
1.09793767e-02, 2.11202670e-04
1.32585755e-02, 2.30273014e-04
1.42390304e-03, 2.90097214e-05
1.11715030e-03, 2.67213218e-05
1.79200619e-03, 3.41675550e-05
2.23373016e-03, 4.03743252e-05
2.76379869e-03, 4.89941522e-05
3.39988107e-03, 6.10278694e-05
4.16318001e-03, 7.56161753e-05
5.07913856e-03, 9.32523471e-05
6.17828872e-03, 1.17056508e-04
7.49726919e-03, 1.48221370e-04
9.08004586e-03, 1.85275290e-04
1.09793767e-02, 2.28112069e-04
1.32585755e-02, 2.47958640e-04
1.42390304e-03, 3.10886244e-05
1.11715030e-03, 2.86757295e-05
1.79200619e-03, 3.65299384e-05
2.23373016e-03, 4.30332657e-05
2.76379869e-03, 5.20729845e-05
3.39988107e-03, 6.46555418e-05
4.16318001e-03, 7.97648972e-05
5.07913856e-03, 9.79602919e-05
6.17828872e-03, 1.23021571e-04
7.49726919e-03, 1.56420181e-04
9.08004586e-03, 1.95452783e-04
1.09793767e-02, 2.39847010e-04
1.32585755e-02, 2.59894354e-04
1.42390304e-03, 2.96682138e-05
1.11715030e-03, 2.73771875e-05
1.79200619e-03, 3.48241447e-05
2.23373016e-03, 4.09782297e-05
2.76379869e-03, 4.95598579e-05
3.39988107e-03, 6.14790697e-05
4.16318001e-03, 7.56414011e-05
5.07913856e-03, 9.24527121e-05
6.17828872e-03, 1.15745912e-04
7.49726919e-03, 1.47345185e-04
9.08004586e-03, 1.83482058e-04
1.09793767e-02, 2.22324990e-04
1.32585755e-02, 2.40666050e-04
1.42390304e-03, 2.34825638e-05
1.11715030e-03, 2.16490971e-05
1.79200619e-03, 2.75845614e-05
2.23373016e-03, 3.24943139e-05
2.76379869e-03, 3.93971495e-05
3.39988107e-03, 4.90272760e-05
4.16318001e-03, 6.04391535e-05
5.07913856e-03, 7.37896698e-05
6.17828872e-03, 9.21345345e-05
7.49726919e-03, 1.17159529e-04
9.08004586e-03, 1.45141850e-04
1.09793767e-02, 1.73072840e-04
1.32585755e-02, 1.87403130e-04
1.42390304e-03, 1.68740062e-05
1.11715030e-03, 1.55356993e-05
1.79200619e-03, 1.98561611e-05
2.23373016e-03, 2.34547715e-05
2.76379869e-03, 2.85758142e-05
3.39988107e-03, 3.57940917e-05
4.16318001e-03, 4.44099205e-05
5.07913856e-03, 5.44612158e-05
6.17828872e-03, 6.81788224e-05
7.49726919e-03, 8.67556519e-05
9.08004586e-03, 1.06763153e-04
1.09793767e-02, 1.25209030e-04
1.32585755e-02, 1.35564638e-04
1.42390304e-03, 1.19869519e-05
1.11715030e-03, 1.10139154e-05
1.79200619e-03, 1.41401460e-05
2.23373016e-03, 1.67664984e-05
2.76379869e-03, 2.05607721e-05
3.39988107e-03, 2.59854805e-05
4.16318001e-03, 3.25622641e-05
5.07913856e-03, 4.02751721e-05
6.17828872e-03, 5.07829100e-05
7.49726919e-03, 6.48726636e-05
9.08004586e-03, 7.92838182e-05
1.09793767e-02, 9.15655110e-05
1.32585755e-02, 9.90070839e-05
1.42390304e-03, 8.37971584e-06
1.11715030e-03, 7.69197595e-06
1.79200619e-03, 9.90091849e-06
2.23373016e-03, 1.17881227e-05
2.76379869e-03, 1.45555423e-05
3.39988107e-03, 1.85755689e-05
4.16318001e-03, 2.35534717e-05
5.07913856e-03, 2.94700312e-05
6.17828872e-03, 3.75246927e-05
7.49726919e-03, 4.82419346e-05
9.08004586e-03, 5.86445858e-05
1.09793767e-02, 6.67606728e-05
1.32585755e-02, 7.20279568e-05
1.42390304e-03, 5.75404056e-06
1.11715030e-03, 5.27413567e-06
1.79200619e-03, 6.81241727e-06
2.23373016e-03, 8.14074428e-06
2.76379869e-03, 1.01183668e-05
3.39988107e-03, 1.30333237e-05
4.16318001e-03, 1.67234757e-05
5.07913856e-03, 2.11972001e-05
6.17828872e-03, 2.73107489e-05
7.49726873e-03, 3.53853502e-05
9.08004586e-03, 4.28353451e-05
1.09793767e-02, 4.80974668e-05
1.32585755e-02, 5.17810477e-05
1.42390304e-03, 3.87521504e-06
1.11715030e-03, 3.55178349e-06
1.79200619e-03, 4.59146440e-06
2.23373016e-03, 5.50281084e-06
2.76379869e-03, 6.87765123e-06
3.39988107e-03, 8.93258948e-06
4.16318001e-03, 1.15877319e-05
5.07913856e-03, 1.48774679e-05
6.17828872e-03, 1.94089462e-05
7.49726919e-03, 2.53584258e-05
9.08004586e-03, 3.05967187e-05
1.09793767e-02, 3.39379512e-05
1.32585755e-02, 3.64559164e-05
1.42390304e-03, 2.55412988e-06
1.11715030e-03, 2.34289678e-06
1.79200619e-03, 3.02651438e-06
2.23373016e-03, 3.63469167e-06
2.76379869e-03, 4.56179259e-06
3.39988107e-03, 5.96363361e-06
4.16318001e-03, 7.80884511e-06
5.07913856e-03, 1.01435098e-05
6.17828872e-03, 1.33927842e-05
7.49726919e-03, 1.76363246e-05
9.08004586e-03, 2.12269679e-05
1.09793767e-02, 2.33088158e-05
1.32585755e-02, 2.49841341e-05
1.42390304e-03, 1.63416257e-06
1.11715030e-03, 1.49908931e-06
1.79200619e-03, 1.93767733e-06
2.23373016e-03, 2.32924663e-06
2.76379869e-03, 2.93145285e-06
3.39988107e-03, 3.84992018e-06
4.16318001e-03, 5.07526147e-06
5.07913856e-03, 6.65639254e-06
6.17828872e-03, 8.88108298e-06
7.49726919e-03, 1.17680038e-05
9.08004586e-03, 1.41373284e-05
1.09793767e-02, 1.54165591e-05
1.32585755e-02, 1.64975936e-05
1.42390304e-03, 1.00111492e-06
1.11715030e-03, 9.20364585e-07
1.79200619e-03, 1.18547405e-06
2.23373016e-03, 1.42455849e-06
2.76379869e-03, 1.79505571e-06
3.39988107e-03, 2.36383607e-06
4.16318001e-03, 3.12847942e-06
5.07913856e-03, 4.12749023e-06
6.17828872e-03, 5.54958297e-06
7.49726919e-03, 7.37429309e-06
9.08004586e-03, 8.84620022e-06
1.09793767e-02, 9.62783542e-06
1.32585755e-02, 1.02975664e-05
1.42390304e-03, 3.16041991e-07
1.11715030e-03, 2.91430752e-07
1.79200619e-03, 3.73397938e-07
2.23373016e-03, 4.47843917e-07
2.76379869e-03, 5.63867104e-07
3.39988107e-03, 7.42343843e-07
4.16318001e-03, 9.82179017e-07
5.07913856e-03, 1.29708656e-06
6.17828872e-03, 1.74721879e-06
7.49726919e-03, 2.31416493e-06
9.08004586e-03, 2.77385152e-06
1.09793767e-02, 3.03761522e-06
1.32585755e-02, 3.25622682e-06
2.03388613e-02, 4.84942939e-06
2.03388613e-02, 1.54159159e-06
1.90198813e-02, 1.90809419e-06
1.90198813e-02, 6.01322790e-06
1.74371041e-02, 2.37698987e-06
1.74371041e-02, 7.50032768e-06
1.55377733e-02, 2.95216751e-06
1.55377733e-02, 9.33104184e-06
1.90198813e-02, 9.67207598e-06
2.03388613e-02, 7.80543178e-06
1.74371041e-02, 1.20487339e-05
1.55377733e-02, 1.49688549e-05
1.90198813e-02, 1.47749806e-05
2.03388613e-02, 1.19525330e-05
1.74371041e-02, 1.83431566e-05
1.55377733e-02, 2.27116361e-05
1.90198813e-02, 2.17999404e-05
2.03388613e-02, 1.77047496e-05
1.74371041e-02, 2.69440097e-05
1.55377733e-02, 3.32125783e-05
1.90198813e-02, 3.13457422e-05
2.03388613e-02, 2.55747145e-05
1.74371041e-02, 3.85474195e-05
1.55377733e-02, 4.72812426e-05
1.90198813e-02, 4.41226257e-05
2.03388613e-02, 3.61753555e-05
1.74371041e-02, 5.39830071e-05
1.55377733e-02, 6.58932113e-05
1.90198813e-02, 6.12569420e-05
2.03388613e-02, 5.04562340e-05
1.74371041e-02, 7.45965372e-05
1.55377733e-02, 9.06689093e-05
1.90198813e-02, 8.43710513e-05
2.03388613e-02, 6.97462310e-05
1.74371041e-02, 1.02369588e-04
1.55377733e-02, 1.24063008e-04
1.90198813e-02, 1.16634532e-04
2.03388613e-02, 9.66266234e-05
1.74371041e-02, 1.41198325e-04
1.55377733e-02, 1.70922067e-04
1.90198813e-02, 1.49070635e-04
2.03388613e-02, 1.23597172e-04
1.74371041e-02, 1.80323419e-04
1.55377733e-02, 2.18409928e-04
1.90198813e-02, 1.60522584e-04
2.03388613e-02, 1.33140478e-04
1.74371041e-02, 1.94058506e-04
1.55377733e-02, 2.35089043e-04
1.90198813e-02, 1.54010690e-04
2.03388613e-02, 1.27873747e-04
1.74371041e-02, 1.85880053e-04
1.55377733e-02, 2.24767486e-04
1.90198813e-02, 1.44386708e-04
2.03388613e-02, 1.20093355e-04
1.74371041e-02, 1.73844455e-04
1.55377733e-02, 2.09573700e-04
1.90198813e-02, 1.32176036e-04
2.03388613e-02, 1.10113120e-04
1.74371041e-02, 1.58814277e-04
1.55377733e-02, 1.90972045e-04
1.90198813e-02, 1.18677912e-04
2.03388613e-02, 9.89689142e-05
1.74371041e-02, 1.42403500e-04
1.55377733e-02, 1.70957894e-04
1.90198813e-02, 1.05131679e-04
2.03388613e-02, 8.77215425e-05
1.74371041e-02, 1.26051571e-04
1.55377733e-02, 1.51182656e-04
